"","Mnemonic","LOANID","Intercept","MR","RDIGR","CPIL1EGR","AGE","AGE2","ORIGSC","ELTV","INSURANCE","NUM30","UNEMP","JUMBO","NUM60","HPI"
"93",2013-03-31,8738693,1,3.503833333,-15.6842035147373,2.07216004705704,214.999999999998,46224.9999999992,636,0.0328190995377258,0,0,7.6,0,0,141.776
"94",2013-06-30,8738693,1,3.683666667,2.35200777190614,0.931499478927456,214.999999999998,46224.9999999992,636,0.0317836036480795,0,0,7.233333,0,0,146.395
"95",2013-09-30,8738693,1,4.438666667,2.36115033207591,2.05725245657928,214.999999999998,46224.9999999992,636,0.0305456689253493,0,0,6.9,0,0,152.328
"96",2013-12-31,8738693,1,4.3015,0.862839272265559,1.78752443496115,214.999999999998,46224.9999999992,636,0.0298167319615295,0,0,6.633333,0,0,156.052
"97",2014-03-31,8738693,1,4.359,4.34025559672928,1.67110031936719,214.999999999998,46224.9999999992,636,0.0293421492285126,0,0,6.533333,0,0,158.576
"98",2014-06-30,8738693,1,4.230666667,5.25621204599513,2.05662253539405,214.999999999998,46224.9999999992,636,0.0289777707919325,0,0,6.3,0,0,160.57
"99",2014-09-30,8738693,1,4.135833333,4.23640927263262,1.58291763150267,214.999999999998,46224.9999999992,636,0.0284961212124924,0,0,6.033333,0,0,163.284
"100",2014-12-31,8738693,1,3.965333333,5.939533661884,1.55631124047428,214.999999999998,46224.9999999992,636,0.02790816352811,0,0,5.833333,0,0,166.724
"101",2015-03-31,8738693,1,3.73,4.27629574454225,1.60044119529086,214.999999999998,46224.9999999992,636,0.0275051319468963,0,0,5.6,0,0,169.167
"102",2015-06-30,8738693,1,3.8315,3.84543916797899,2.305609795504,214.999999999998,46224.9999999992,636,0.0271926448683054,0,0,5.4,0,0,171.111
"103",2015-09-30,8738693,1,3.947,1.83616307718883,1.90799438538509,214.999999999998,46224.9999999992,636,0.0266561293349409,0,0,5.233333,0,0,174.555
"104",2015-12-31,8738693,1,3.900833333,2.93092720367965,2.23571358354033,214.999999999998,46224.9999999992,636,0.0260769405491201,0,0,5.1,0,0,178.432
"105",2016-03-31,8738693,1,3.742166667,0.207179420145875,2.54564896025748,214.999999999998,46224.9999999992,636,0.0256851113199852,0,0,4.966667,0,0,181.154
"106",2016-06-30,8738693,1,3.591,1.90781738211971,2.07416846617976,214.999999999998,46224.9999999992,636,0.025394652811613,0,0,4.9,0,0,183.226
"107",2016-09-30,8738693,1,3.445,0.699559282678131,2.05086109023747,214.999999999998,46224.9999999992,636,0.0250250664547286,0,0,4.9,0,0,185.932
"108",2016-12-31,8738693,1,3.812666667,-1.83347222825681,2.04912543193279,214.999999999998,46224.9999999992,636,0.0244814067907704,0,0,4.9,0,0,190.061
"109",2017-03-31,8738693,1,4.171166667,2.87655426614528,2.47396814998524,214.999999999998,46224.9999999992,636,0.0242761475888547,0,0,4.933333,0,0,191.668
"110",2017-06-30,8738693,1,3.986333333,3.28466859729393,0.560481026397475,214.999999999998,46224.9999999992,636,0.0240061120194641,0,0,4.3,0,0,193.824
"111",2017-09-30,8738693,1,3.884166667,0.554778884919549,1.70063808330563,214.999999999998,46224.9999999992,636,0.023613225549802,0,0,4.375611,0,0,197.0489227
"112",2017-12-31,8738693,1,4.059655078,0.482504990167665,2.0268556815956,214.999999999998,46224.9999999992,636,0.0232059146517515,0,0,4.252277,0,0,200.5075312
"113",2018-03-31,8738693,1,4.467421353,1.30903476727833,2.27650602169303,214.999999999998,46224.9999999992,636,0.0228440175170419,0,0,4.054983,0,0,203.6839909
"114",2018-06-30,8738693,1,4.701961184,1.73901923571711,2.50053059009305,214.999999999998,46224.9999999992,636,0.022567376331715,0,0,3.86201,0,0,206.1808421
"115",2018-09-30,8738693,1,4.928653789,2.24456564237403,2.68134348489941,214.999999999998,46224.9999999992,636,0.0223610462865404,0,0,3.689385,0,0,208.0833158
"116",2018-12-31,8738693,1,5.156355101,1.9083981552622,2.81844710516821,214.999999999998,46224.9999999992,636,0.0222173127602222,0,0,3.498205,0,0,209.4294979
"117",2019-03-31,8738693,1,5.372236387,2.03094014170326,2.98834002042501,214.999999999998,46224.9999999992,636,0.0221197343962514,0,0,3.425711,0,0,210.3533692
"118",2019-06-30,8738693,1,5.447382611,1.83884758792126,3.08052569842836,214.999999999998,46224.9999999992,636,0.0220497248058557,0,0,3.412213,0,0,211.0212575
"119",2019-09-30,8738693,1,5.518305364,1.80080360651864,3.06761333110737,214.999999999998,46224.9999999992,636,0.0219975235196118,0,0,3.426919,0,0,211.5220221
"120",2019-12-31,8738693,1,5.624129287,1.97653900412118,2.97277221483878,214.999999999998,46224.9999999992,636,0.0219612635587871,0,0,3.502197,0,0,211.8712634
"121",2020-03-31,8738693,1,5.650041892,1.27805286492788,2.87520238305921,214.999999999998,46224.9999999992,636,0.0219515903907474,0,0,3.71567,0,0,211.9646264
"122",2020-06-30,8738693,1,5.622810922,1.23690534220771,2.79682648386601,214.999999999998,46224.9999999992,636,0.021956098015188,0,0,3.947908,0,0,211.9211097
"123",2020-09-30,8738693,1,5.545220034,1.23733848531344,2.75873344113882,214.999999999998,46224.9999999992,636,0.0219476814361988,0,0,4.125211,0,0,212.002378
"124",2020-12-31,8738693,1,5.470557078,1.45851120356746,2.59380947609453,214.999999999998,46224.9999999992,636,0.0219213962087973,0,0,4.220629,0,0,212.2565831
"125",2021-03-31,8738693,1,5.378848364,1.60521467202861,2.45302231708737,214.999999999998,46224.9999999992,636,0.0218746072412821,0,0,4.253452,0,0,212.710592
"126",2021-06-30,8738693,1,5.381577928,1.85159491770026,2.30224136284358,214.999999999998,46224.9999999992,636,0.0218188943559259,0,0,4.335208,0,0,213.2537323
"127",2021-09-30,8738693,1,5.481860356,1.90048343448872,2.20810326983811,214.999999999998,46224.9999999992,636,0.0217677243893328,0,0,4.430335,0,0,213.7550335
"128",2021-12-31,8738693,1,5.536937182,2.0953980258128,2.14992034901877,214.999999999998,46224.9999999992,636,0.0217162962396227,0,0,4.495274,0,0,214.2612444
